index,rel_path,label
6150,COVID/masks/COVID-3356.png,COVID
3741,COVID/masks/COVID-1152.png,COVID
2918,COVID/images/COVID-410.png,COVID
6406,COVID/masks/COVID-3597.png,COVID
2090,COVID/images/COVID-2901.png,COVID
6525,COVID/masks/COVID-45.png,COVID
6466,COVID/masks/COVID-397.png,COVID
5444,COVID/masks/COVID-2698.png,COVID
1548,COVID/images/COVID-2395.png,COVID
497,COVID/images/COVID-1447.png,COVID
560,COVID/images/COVID-1503.png,COVID
339,COVID/images/COVID-1303.png,COVID
4928,COVID/masks/COVID-2224.png,COVID
6056,COVID/masks/COVID-3270.png,COVID
5365,COVID/masks/COVID-2624.png,COVID
6436,COVID/masks/COVID-37.png,COVID
6669,COVID/masks/COVID-580.png,COVID
1923,COVID/images/COVID-2742.png,COVID
5013,COVID/masks/COVID-2300.png,COVID
4305,COVID/masks/COVID-1662.png,COVID
4091,COVID/masks/COVID-147.png,COVID
2891,COVID/images/COVID-387.png,COVID
5111,COVID/masks/COVID-239.png,COVID
3365,COVID/images/COVID-814.png,COVID
653,COVID/images/COVID-1588.png,COVID
1423,COVID/images/COVID-2282.png,COVID
4735,COVID/masks/COVID-2049.png,COVID
4506,COVID/masks/COVID-1843.png,COVID
4233,COVID/masks/COVID-1598.png,COVID
1193,COVID/images/COVID-2073.png,COVID
3570,COVID/masks/COVID-1.png,COVID
1595,COVID/images/COVID-244.png,COVID
6425,COVID/masks/COVID-3614.png,COVID
1210,COVID/images/COVID-209.png,COVID
1967,COVID/images/COVID-2784.png,COVID
1374,COVID/images/COVID-2238.png,COVID
6809,COVID/masks/COVID-706.png,COVID
6681,COVID/masks/COVID-591.png,COVID
654,COVID/images/COVID-1589.png,COVID
114,COVID/images/COVID-1100.png,COVID
1054,COVID/images/COVID-1949.png,COVID
4331,COVID/masks/COVID-1686.png,COVID
3643,COVID/masks/COVID-1064.png,COVID
447,COVID/images/COVID-1401.png,COVID
6091,COVID/masks/COVID-3302.png,COVID
461,COVID/images/COVID-1414.png,COVID
4541,COVID/masks/COVID-1875.png,COVID
3512,COVID/images/COVID-947.png,COVID
1503,COVID/images/COVID-2354.png,COVID
